timestamps,TP9,AF7,AF8,TP10,Right AUX
1575280166.632,-511.230,-174.316,-970.703,-866.699,911.133
1575280166.636,-1000.000,-925.293,-979.980,-1000.000,104.492
1575280166.640,311.035,980.957,-900.879,-172.363,-195.801
1575280166.644,-874.512,973.145,-1000.000,-824.707,242.188
1575280166.648,951.660,-994.141,-415.039,677.734,472.656
1575280166.652,-225.586,999.512,958.496,-659.668,344.727
1575280166.656,-1000.000,999.512,-975.586,-1000.000,-227.051
1575280166.660,-189.453,999.512,954.590,-621.582,-474.121
1575280166.664,-847.656,999.512,-988.770,944.824,-310.059
1575280166.668,706.055,999.512,999.512,461.914,214.844
1575280166.671,-656.738,999.512,999.512,-1000.000,231.934
1575280166.675,-1000.000,999.512,999.512,-913.086,-317.383
1575280166.679,-500.977,999.512,999.512,-1000.000,-824.707
1575280166.683,-985.840,999.512,999.512,19.531,-417.969
1575280166.687,726.074,999.512,999.512,343.750,214.844
1575280166.691,-744.141,999.512,999.512,-1000.000,151.367
1575280166.695,-1000.000,999.512,999.512,-911.621,-287.598
1575280166.699,-808.105,999.512,999.512,-1000.000,-508.301
1575280166.703,611.328,999.512,999.512,-59.570,-210.938
1575280166.707,-999.512,999.512,-1000.000,405.762,280.762
1575280166.710,-515.137,999.512,984.863,-1000.000,187.012
1575280166.714,-1000.000,999.512,-958.008,-921.387,-242.188
1575280166.718,-974.609,999.512,820.312,-1000.000,-406.738
1575280166.722,229.980,999.512,641.113,-144.043,-159.180
1575280166.726,-785.156,999.512,-947.266,539.551,219.727
1575280166.730,-184.082,999.512,462.891,-930.176,115.723
1575280166.734,-1000.000,999.512,-778.320,-958.008,-245.605
1575280166.738,-1000.000,999.512,-996.094,-1000.000,-376.953
1575280166.742,72.754,999.512,-935.059,-311.523,-185.059
1575280166.746,-733.887,999.512,-974.609,992.676,194.336
1575280166.750,180.664,-1000.000,-970.703,-352.539,246.094
1575280166.753,-1000.000,921.875,-970.215,-1000.000,-92.773
1575280166.757,-1000.000,-787.598,-970.215,-1000.000,-440.430
1575280166.761,51.270,93.262,-970.215,-307.129,-424.805
1575280166.765,-745.605,-582.031,-970.215,-809.082,143.066
1575280166.769,302.246,924.805,-970.215,201.660,532.715
1575280166.773,-980.957,-969.727,-970.215,-1000.000,94.238
1575280166.777,-1000.000,-952.148,-970.215,-1000.000,-436.035
1575280166.781,126.465,57.617,-970.703,-233.887,-426.758
1575280166.785,-818.848,-1000.000,-970.703,-820.312,60.059
1575280166.789,788.574,-149.902,-970.215,542.480,485.352
1575280166.793,-570.312,-957.520,-970.215,-829.102,336.426
1575280166.796,-1000.000,-863.770,-970.215,-1000.000,-230.469
1575280166.800,187.500,105.957,-970.703,-83.008,-304.688
1575280166.804,-908.691,54.199,-970.703,-969.727,362.793
1575280166.808,-957.520,-891.113,-970.215,-927.246,481.934
1575280166.812,-72.266,938.477,-970.215,48.340,-12.207
1575280166.816,-1000.000,-915.527,-970.703,-1000.000,-254.883
1575280166.820,24.414,83.008,-970.215,187.500,-170.898
1575280166.824,-944.824,-1000.000,-970.215,-885.742,102.051
1575280166.828,-905.273,-555.664,-980.957,968.262,367.676
1575280166.832,194.824,884.277,-884.277,964.355,201.172
1575280166.835,-1000.000,-987.793,-1000.000,610.840,-187.012
1575280166.839,-134.277,444.336,-447.754,838.867,-27.832
1575280166.843,-962.891,802.246,887.207,-946.777,266.602
1575280166.847,-888.184,-989.746,-941.895,944.336,489.746
1575280166.851,256.348,-935.547,854.980,-880.371,246.582
1575280166.855,-1000.000,692.383,774.902,398.438,-366.211
1575280166.859,-172.852,-708.496,884.277,338.379,-261.230
1575280166.863,-964.355,-1000.000,990.234,-957.520,205.566
1575280166.867,-899.414,-168.457,-996.582,-967.773,385.742
1575280166.871,258.789,885.742,992.676,892.578,156.250
1575280166.875,-1000.000,-904.785,-999.023,-657.227,-117.676
1575280166.878,-476.562,261.230,999.512,-311.523,-225.586
1575280166.882,899.414,-1000.000,999.512,-948.730,47.363
1575280166.886,-841.309,-384.766,999.512,-899.902,323.242
1575280166.890,211.914,999.023,999.512,396.973,203.613
1575280166.894,-1000.000,-964.844,999.512,-1000.000,-141.113
1575280166.898,-892.578,902.832,999.512,-680.664,-305.664
1575280166.902,419.434,884.277,999.512,726.074,70.801
1575280166.906,-750.488,997.070,999.512,-801.758,379.883
1575280166.910,165.039,-993.652,999.512,220.703,204.590
1575280166.914,-991.211,993.164,999.512,-992.676,-96.680
1575280166.917,-1000.000,-1000.000,999.512,-1000.000,-269.043
1575280166.921,-3.418,999.512,999.512,133.301,-46.387
1575280166.925,-749.023,999.512,999.512,-743.164,266.113
1575280166.929,173.828,999.512,999.512,217.773,216.797
1575280166.933,-991.699,999.512,999.512,-973.633,-98.633
1575280166.937,-1000.000,999.512,999.512,-1000.000,-283.203
1575280166.941,-212.891,999.512,999.512,-135.742,-67.383
1575280166.945,-791.992,999.512,999.512,-782.715,176.270
1575280166.949,350.098,999.512,999.512,397.461,186.035
1575280166.953,-948.242,999.512,999.512,-915.527,-12.207
1575280166.957,-1000.000,999.512,999.512,-1000.000,-497.070
1575280166.960,-217.773,999.512,999.512,-166.504,-140.625
1575280166.964,-847.168,999.512,999.512,-866.211,341.797
1575280166.968,690.430,999.512,999.512,778.809,287.598
1575280166.972,-702.637,999.512,999.512,-571.289,88.379
1575280166.976,-1000.000,999.512,999.512,-1000.000,-187.500
1575280166.980,-159.180,999.512,999.512,-151.855,-31.738
1575280166.984,-948.730,999.512,999.512,-942.383,218.262
1575280166.988,-981.445,999.512,999.512,-997.559,266.602
1575280166.992,-219.727,999.512,999.512,-216.797,34.668
1575280166.996,-1000.000,999.512,-997.559,-1000.000,-204.102
1575280167.000,-130.859,999.512,988.281,-152.832,-156.250
1575280167.003,-986.328,999.512,960.449,-991.211,140.137
1575280167.007,-889.160,999.512,-916.992,-887.207,261.719
1575280167.011,149.414,999.512,57.617,153.320,56.152
1575280167.015,-1000.000,999.512,-1000.000,-1000.000,-200.195
1575280167.019,-184.082,999.512,-942.383,-153.809,-179.199
1575280167.023,-981.934,999.512,-951.660,-979.004,163.574
1575280167.027,-886.719,999.512,-975.586,-886.230,306.152
1575280167.031,260.742,999.512,-970.215,391.113,135.254
1575280167.035,-1000.000,999.512,-970.215,-1000.000,-123.047
1575280167.039,-335.449,-1000.000,-970.215,-192.871,-178.711
1575280167.042,973.633,-999.512,-970.215,-962.891,91.797
1575280167.046,-873.047,954.590,-970.703,-928.711,291.504
1575280167.050,251.465,-929.199,-976.562,648.438,230.469
1575280167.054,-1000.000,519.043,-906.738,-941.406,-63.965
1575280167.058,-563.477,-733.887,-1000.000,-447.754,-211.426
1575280167.062,828.125,-888.672,-387.695,964.844,9.277
1575280167.066,-818.848,-639.160,940.430,-876.953,244.141
1575280167.070,266.602,-911.133,-979.492,478.516,166.504
1575280167.074,-1000.000,-996.094,958.496,-945.312,-167.480
1575280167.078,-976.562,-956.543,-990.723,-901.367,-291.504
