timestamps,TP9,AF7,AF8,TP10,Right AUX
1574477754.083,-3.418,25.391,28.320,5.859,39.062
1574477754.087,-6.348,37.109,25.391,-7.324,37.598
1574477754.091,-2.441,36.621,30.762,-26.367,71.289
1574477754.095,2.441,34.668,30.273,-7.812,-10.742
1574477754.099,10.254,34.668,23.926,22.461,-64.941
1574477754.103,15.137,33.203,21.484,27.344,26.855
1574477754.107,19.531,33.203,18.066,30.762,42.480
1574477754.110,23.926,36.133,17.090,41.992,28.809
1574477754.114,22.949,37.109,24.902,44.922,12.695
1574477754.118,21.973,41.016,27.344,43.945,31.250
1574477754.122,32.715,41.504,22.461,45.410,36.621
1574477754.126,53.711,45.410,29.785,49.316,28.320
1574477754.130,48.828,47.363,40.527,41.992,71.289
1574477754.134,28.809,35.645,37.109,28.809,46.875
1574477754.138,15.137,36.133,22.949,19.531,37.109
1574477754.142,10.254,45.898,25.879,16.602,-0.488
1574477754.146,17.090,43.945,33.203,8.789,-2.930
1574477754.150,14.648,45.410,29.297,16.113,24.414
1574477754.153,11.719,46.875,31.250,10.742,27.832
1574477754.157,0.488,39.062,42.480,-8.789,65.430
1574477754.161,-2.930,43.457,47.363,-5.859,38.086
1574477754.165,15.137,50.293,46.387,-4.395,1.953
1574477754.169,20.020,44.922,36.133,7.324,9.766
1574477754.173,-7.324,37.598,33.691,14.160,23.926
1574477754.177,-14.648,41.504,42.969,2.441,53.223
1574477754.181,4.883,44.922,41.016,7.812,38.086
1574477754.185,13.184,48.340,39.062,9.766,24.414
1574477754.189,11.230,48.828,39.062,2.441,-65.918
1574477754.192,-1.465,45.898,33.691,-2.930,-99.609
1574477754.196,-15.625,46.387,39.062,-0.977,-11.719
1574477754.200,-5.371,42.969,45.898,14.648,37.109
1574477754.204,11.719,41.016,44.434,14.648,9.766
1574477754.208,14.160,37.109,49.316,31.738,-28.809
1574477754.212,13.184,36.133,43.457,41.504,-11.230
1574477754.216,4.395,41.992,28.809,16.113,30.273
1574477754.220,-3.418,43.945,33.691,12.207,33.203
1574477754.224,3.418,42.480,40.527,31.738,51.270
1574477754.228,21.973,41.504,38.574,28.320,14.648
1574477754.232,24.902,41.992,35.645,11.230,25.879
1574477754.235,4.395,44.922,37.109,2.441,89.355
1574477754.239,-14.160,38.574,36.133,-1.465,-39.062
